t_s,P_bar,Level_m,SP_bar,PV01_pct,LV01_pct
480.0,4.795521456911948,0.2939941969939652,5.0,0.7820667516453788,0.3686434356464558
485.0,4.7953422103485845,0.29407149002616767,5.0,0.7813509167380019,0.3687709934846876
490.0,4.795177153534244,0.2941491321266073,5.0,0.7806921084555412,0.3689513133792245
495.0,4.795019648233151,0.2942270180485656,5.0,0.7800628424024934,0.3691803080461425
500.0,4.79486180424593,0.2943050470878633,5.0,0.7794314325849994,0.36945402178545056
505.0,4.794700074716513,0.29438312570559555,5.0,0.7787841259131092,0.36976873926322457
510.0,4.794535708350815,0.29446116902436414,5.0,0.7781263967666907,0.37012104946635777
515.0,4.794372036734967,0.2945391003826501,5.0,0.777471779778284,0.3705078315970235
520.0,4.794211451630094,0.29461684981348,5.0,0.7768297480098887,0.37092619735147003
525.0,4.794054247946675,0.29469435255445375,5.0,0.7762012714183573,0.3713734339296751
530.0,4.79389926742915,0.29477154832796365,5.0,0.775581571664846,0.37184697764056
535.0,4.793745243895834,0.29484838129202423,5.0,0.7749655732300031,0.3723444142871055
540.0,4.79359165290547,0.2949248002196258,5.0,0.7743512525228449,0.37286348869368957
545.0,4.793438739957607,0.29500075848181884,5.0,0.7737396685356428,0.37340210628923853
550.0,4.793287042696033,0.2950762137455034,5.0,0.7731330010579738,0.37395832310967164
555.0,4.793136916597206,0.2951511275211438,5.0,0.7725326537789403,0.37453032959825056
560.0,4.792988375976929,0.29522546473445527,5.0,0.7719386498456882,0.3751164351854707
565.0,4.792841014408054,0.29529919348849,5.0,0.7713493214753304,0.37571506039924907
570.0,4.792694830317896,0.2953721999341415,5.0,0.7707647028625693,0.3763212737307033
575.0,4.79254985237991,0.29544454253034474,5.0,0.7701849117258412,0.37693711607411634
580.0,4.792406118655357,0.295516197940584,5.0,0.7696101012489738,0.3775612940167849
585.0,4.7922636176423445,0.2955871510333742,5.0,0.7690402204680771,0.37819285278159037
590.0,4.792122329915193,0.29565738332172514,5.0,0.7684751908880567,0.3788306918156034
595.0,4.79198221612569,0.2957268784967014,5.0,0.7679148531238087,0.3794737906403284
600.0,4.791843256624738,0.2957956218631935,2.0,13.206951293380095,0.38012118586991445
605.0,4.7917054498491884,0.295863600591308,2.0,13.045985454042894,0.38077198236247217
610.0,3.354193813778776,0.2959298270497158,2.0,7.219911217520697,0.3813856037697014
615.0,2.347935668864184,0.2956722912592012,2.0,3.255400770421122,0.3688555653289322
620.0,1.6435549677049288,0.29559814366340564,2.0,0.45024345854488046,0.36372541096775696
625.0,1.2758616293076854,0.2956079157907165,2.0,-1.0230680773025074,0.3619370379001704
630.0,1.379947329462243,0.2957203310097227,2.0,-0.590550006355985,0.36431434078362024
635.0,1.496746980353991,0.29626855686268866,2.0,-0.14724265869757458,0.38446481546039385
640.0,1.6136641366578381,0.2968012541543143,2.0,0.3011209238919159,0.4041702284903084
645.0,1.7306105144899766,0.29730503557957383,2.0,0.7554398830977977,0.4229682201172034
650.0,1.8294869932139435,0.29777081780627,2.0,1.1406131577435454,0.44047731824847325
655.0,1.8955804608112934,0.29818809252865264,2.0,1.396487750060848,0.4562526519072417
660.0,1.9303563102269876,0.29855268800264256,2.0,1.5289772014168086,0.4701022790184815
665.0,1.9431450068237714,0.2988750864019423,2.0,1.5750905228632415,0.48242731877650513
670.0,1.9444731480840545,0.2991675661298775,2.0,1.5764806897749262,0.4937043072245777
675.0,1.9419277342181964,0.2994412185854103,2.0,1.5630080655097898,0.504367249284114
680.0,1.939308711430023,0.29970325686791544,2.0,1.5494900490363654,0.5146980861836722
685.0,1.9377515613631526,0.2999572139038222,2.0,1.540255214109172,0.5248333583225336
690.0,1.937148020568062,0.30020420643721984,2.0,1.5347938128843908,0.5348137699765482
695.0,1.9370761221890178,0.30044425557736815,2.0,1.5314131897192693,0.5446364746925144
700.0,1.9371977740058886,0.3006771173082174,2.0,1.5287790407066384,0.5542880650987331
705.0,1.9373383089347873,0.30090263217184565,2.0,1.5262099841801755,0.5637585063563422
710.0,1.9374422929889368,0.3011207906513687,2.0,1.5234943799587453,0.5730437695861277
715.0,1.9375117318929596,0.3013316894482166,2.0,1.5206442676544718,0.5821441142476163
720.0,1.937564475115667,0.3015354741614536,2.0,1.5177317947329538,0.5910618170411012
725.0,1.937615627011802,0.30173230167451304,2.0,1.5148170245354258,0.5997996769606998
730.0,1.9376731831755938,0.301922323867384,2.0,1.5119315487761387,0.6083603655451922
735.0,1.9377335171311278,0.30210551635178073,2.0,1.5090598382340055,0.6167394571552575
740.0,1.9378028998960313,0.3022823000524875,2.0,1.5062284191693578,0.6249506734530347
745.0,1.9378822478067808,0.3024526935552853,2.0,1.5034409197172793,0.6329914823030073
750.0,1.937970341776751,0.3026168341546407,2.0,1.5006926872919204,0.6408642727738544
755.0,1.9380657192289166,0.3027748468086532,2.0,1.4979782114102476,0.6485709767496122
760.0,1.9381673884561637,0.3029268588656898,2.0,1.4952938869195522,0.6561136883445272
765.0,1.9382748596715396,0.3030729964323351,2.0,1.4926380949634457,0.6634945143284274
770.0,1.9383879230086514,0.3032133846516519,2.0,1.4900103036744992,0.6707155855574589
775.0,1.9385064681133102,0.3033481473442878,2.0,1.4874103556755547,0.6777790418297027
780.0,1.9386303772097209,0.3034774068437538,2.0,1.4848380473208587,0.6846870245915863
785.0,1.938759523120678,0.3036012839008856,2.0,1.4822931308021756,0.6914416723388341
790.0,1.9388937530116486,0.30371989767536733,2.0,1.4797752464146416,0.6980451194992575
795.0,1.9390329200483258,0.3038333657280922,2.0,1.4772840542783376,0.7044994953279478
800.0,1.9391768675579468,0.303941804042553,2.0,1.4748191657420133,0.7108069239800024
805.0,1.939325415603564,0.304045327018408,2.0,1.4723800887582599,0.7169695234556844
810.0,1.9394784470249744,0.3041440474716401,2.0,1.4699665851327297,0.7229894048162645
815.0,1.9396358217878225,0.304238076680362,2.0,1.4675783096076567,0.7288686732564205
820.0,1.9397974040367871,0.30432752433461246,2.0,1.4652149295539663,0.7346094252828506
